temperature,humidity,wind_speed,outfit
38,87,13,T-shirt and shorts
28,35,4,Summer dress
14,71,5,Light jacket
42,13,4,Tank top and shorts
7,51,14,Wool coat
20,27,11,Sweater
38,49,13,T-shirt and shorts
18,81,12,Light jacket
22,48,3,Summer dress
10,23,8,Wool coat
10,41,10,Wool coat
23,60,4,Summer dress
35,47,14,T-shirt and shorts
39,32,2,Tank top and shorts
23,72,2,Summer dress
2,24,1,Wool coat
21,34,13,Summer dress
1,26,4,Wool coat
23,75,10,Summer dress
43,87,9,Tank top and shorts
29,62,14,Summer dress
37,60,11,T-shirt and shorts
1,48,7,Wool coat
20,60,12,Sweater
32,79,10,T-shirt and shorts
11,15,7,Light jacket
21,76,13,Summer dress
43,16,7,Tank top and shorts
24,60,8,Summer dress
26,81,1,Summer dress
41,51,10,Tank top and shorts
27,73,13,Summer dress
15,24,10,Sweater
14,38,8,Light jacket
43,42,4,Tank top and shorts
2,36,4,Wool coat
36,45,4,Tank top and shorts
6,38,6,Wool coat
20,47,7,Sweater
8,66,6,Wool coat
38,36,1,T-shirt and shorts
17,64,12,Light jacket
3,42,8,Wool coat
24,77,13,Summer dress
13,75,10,Light jacket
8,19,11,Wool coat
25,14,13,Summer dress
1,83,7,Wool coat
19,47,6,Sweater
27,22,6,Summer dress
6,40,5,Wool coat
43,56,6,Tank top and shorts
7,61,12,Wool coat
34,65,9,T-shirt and shorts
13,24,10,Light jacket
16,38,9,Light jacket
35,17,10,T-shirt and shorts
39,14,8,Tank top and shorts
3,38,10,Wool coat
1,56,9,Wool coat
5,77,13,Wool coat
41,85,10,Tank top and shorts
3,54,8,Wool coat
28,11,8,Summer dress
17,36,1,Light jacket
25,45,10,Summer dress
43,45,11,Hot
33,35,5,Hot
9,52,4,Winter
35,36,2,Hot
13,78,8,Spring
30,29,3,Summer
14,20,4,Spring
7,83,12,Winter
13,47,7,Spring
22,15,10,Summer
39,81,9,Hot
20,32,2,Spring
15,56,3,Spring
44,55,4,Hot
17,21,10,Spring
23,22,1,Summer
25,71,7,Summer
24,69,2,Summer
44,52,5,Hot
40,85,1,Hot
28,77,3,Summer
14,14,12,Spring
44,46,2,Hot
0,81,1,Winter
24,40,7,Summer
6,18,5,Winter
8,60,1,Winter
23,38,6,Summer
0,87,5,Winter
43,49,3,Hot
7,50,12,Winter
23,20,7,Summer
10,32,11,Winter
16,10,10,Spring
7,55,9,Winter
34,30,14,Hot
34,45,13,Hot
32,63,13,Hot
4,66,9,Winter
41,10,14,Hot
38,72,9,Hot
40,63,2,Hot
27,64,3,Summer
6,49,7,Winter
8,24,5,Winter
7,30,2,Winter
11,56,3,Spring
33,82,10,Hot
32,62,6,Hot
22,18,13,Summer
23,83,7,Summer
36,61,9,Hot
34,66,1,Hot
43,35,11,Hot
39,50,7,Hot
21,44,8,Summer
26,72,12,Summer
34,34,14,Hot
0,84,3,Winter
34,47,4,Hot
36,11,10,Hot
13,16,6,Spring
2,43,10,Winter
0,26,7,Winter
4,52,13,Winter
25,68,14,Summer
13,60,4,Spring
38,63,8,Hot
26,33,5,Summer
8,34,1,Winter
14,80,4,Spring
14,61,3,Spring
25,79,9,Summer
41,42,8,Hot
12,58,1,Spring
31,38,11,Hot
38,72,6,Hot
31,31,9,Hot
3,35,7,Winter
29,37,4,Summer
36,58,13,Hot
22,80,1,Summer
38,58,12,Hot
44,29,2,Hot
14,72,12,Spring
42,70,5,Hot
28,58,12,Summer
35,80,11,Hot
12,10,5,Spring
31,22,8,Hot
6,60,6,Winter
21,65,8,Summer
27,71,2,Summer
1,41,3,Winter
41,39,6,Hot
44,38,12,Hot
5,58,13,Winter
27,54,10,Summer
27,39,3,Summer
43,25,6,Hot
43,49,6,Hot
19,28,2,Spring
29,27,7,Summer
10,10,12,Winter
27,87,2,Summer
24,56,6,Summer
38,75,1,Hot
32,47,3,Hot
0,60,2,Winter
26,72,7,Summer
12,13,14,Spring
40,10,4,Hot
2,17,8,Winter
38,38,6,Hot
5,64,12,Winter
7,12,10,Winter
26,41,4,Summer
8,19,5,Winter
36,83,13,Hot
32,43,13,Hot
41,64,9,Hot
43,41,7,Hot
23,59,10,Summer
14,16,14,Spring
31,17,14,Hot
31,74,9,Hot
23,66,7,Summer
40,76,12,Hot
11,68,1,Spring
38,81,12,Hot
1,63,8,Winter
2,76,4,Winter
36,60,3,Hot
16,17,14,Spring
1,43,13,Winter
1,44,7,Winter
27,87,12,Summer
22,41,3,Summer
36,55,8,Hot
31,25,6,Hot
32,77,5,Hot
0,46,4,Winter
18,63,8,Spring
1,23,8,Winter
43,64,12,Hot
25,57,1,Summer
31,16,9,Hot
5,83,14,Winter
31,16,5,Hot
3,42,4,Winter
10,32,6,Winter
16,28,6,Spring
37,28,2,Hot
23,45,8,Summer
4,38,7,Winter
33,69,1,Hot
5,11,5,Winter
21,10,12,Summer
10,56,6,Winter
15,78,4,Spring
32,29,2,Hot
8,20,13,Winter
5,11,14,Winter
15,76,4,Spring
28,21,1,Summer
2,29,7,Winter
19,14,2,Spring
35,46,13,Hot
18,47,2,Spring
25,18,9,Summer
2,62,5,Winter
18,53,2,Spring
19,33,11,Spring
31,83,9,Hot
6,39,9,Winter
40,68,1,Hot
32,23,11,Hot
39,18,3,Hot
38,49,4,Hot
17,75,14,Spring
39,34,7,Hot
0,82,10,Winter
10,31,4,Winter
27,13,2,Summer
24,35,7,Summer
22,67,6,Summer
30,38,3,Summer
29,46,6,Summer
41,84,11,Hot
34,79,6,Hot
6,27,12,Winter
15,51,5,Spring
25,50,4,Summer
1,47,10,Winter
0,43,12,Winter
11,26,1,Spring
4,46,10,Winter
36,34,6,Hot
31,85,2,Hot
8,36,13,Winter
40,66,3,Hot
34,40,14,Hot
18,15,8,Spring
15,49,10,Spring
2,21,14,Winter
19,62,14,Spring
23,80,6,Summer
32,19,3,Hot
23,54,7,Summer
10,26,4,Winter
7,35,14,Winter
35,71,9,Hot
37,55,5,Hot
39,73,3,Hot
19,11,2,Spring
34,63,11,Hot
24,74,2,Summer
34,60,3,Hot
24,62,2,Summer
28,45,14,Summer
17,35,4,Spring
17,38,2,Spring
1,30,10,Winter
34,20,9,Hot
15,49,2,Spring
40,20,9,Hot
35,45,13,Hot
32,68,6,Hot
3,48,1,Winter
32,63,4,Hot
13,64,14,Spring
20,33,1,Spring
19,31,14,Spring
7,78,6,Winter
6,65,14,Winter
2,42,13,Winter
16,45,4,Spring
32,29,3,Hot
11,71,3,Spring
21,82,9,Summer
21,35,6,Summer
29,75,9,Summer
37,82,13,Hot
37,82,5,Hot
44,49,2,Hot
7,26,8,Winter
26,10,5,Summer
26,70,2,Summer
33,52,4,Hot
20,51,9,Spring
29,34,4,Summer
32,48,13,Hot
27,44,12,Summer
32,12,12,Hot
4,53,12,Winter
18,60,13,Spring
3,21,14,Winter
34,28,4,Hot
16,53,2,Spring
43,68,13,Hot
27,58,12,Summer
29,70,6,Summer
28,26,13,Summer
5,83,11,Winter
34,66,14,Hot
40,64,2,Hot
36,56,12,Hot
23,21,7,Summer
28,71,3,Summer
30,89,3,Summer
34,17,5,Hot
32,30,3,Hot
20,89,2,Spring
31,79,10,Hot
22,81,9,Summer
32,34,2,Hot
2,21,14,Winter
17,24,11,Spring
24,68,2,Summer
41,35,13,Hot
30,35,8,Summer
2,56,9,Winter
39,41,7,Hot
23,19,3,Summer
31,25,9,Hot
21,80,3,Summer
22,26,5,Summer
1,32,9,Winter
26,35,12,Summer
41,16,14,Hot
1,23,14,Winter
25,88,3,Summer
16,16,7,Spring
39,18,12,Hot
32,57,1,Hot
8,81,4,Winter
42,68,4,Hot
38,48,7,Hot
28,27,8,Summer
41,68,1,Hot
25,26,5,Summer
34,23,7,Hot
24,40,12,Summer
23,33,4,Summer
12,69,13,Spring
6,54,4,Winter
35,12,4,Hot
44,46,12,Hot
19,52,6,Spring
0,49,7,Winter
7,64,2,Winter
15,48,5,Spring
13,24,4,Spring
11,13,14,Spring
22,34,13,Summer
14,22,3,Spring
27,42,7,Summer
33,25,11,Hot
1,51,12,Winter
31,75,6,Hot
22,64,14,Summer
21,51,7,Summer
24,43,5,Summer
21,39,13,Summer
21,22,6,Summer
41,22,5,Hot
5,27,14,Winter
14,41,7,Spring
42,48,2,Hot
36,55,14,Hot
32,38,11,Hot
7,71,5,Winter
43,71,6,Hot
43,66,6,Hot
4,25,5,Winter
38,65,10,Hot
3,19,7,Winter
5,39,10,Winter
44,34,8,Hot
31,14,7,Hot
29,74,5,Summer
34,58,1,Hot
39,12,13,Hot
15,54,5,Spring
12,23,10,Spring
41,39,2,Hot
29,77,13,Summer
18,27,5,Spring
16,71,5,Spring
18,46,2,Spring
27,34,5,Summer
25,57,13,Summer
36,74,4,Hot
25,62,1,Summer
22,88,3,Summer
8,82,1,Winter
11,24,12,Spring
0,58,11,Winter
0,77,5,Winter
33,21,4,Hot
31,68,7,Hot
24,46,5,Summer
39,70,10,Hot
44,52,14,Hot
0,79,4,Winter
15,48,2,Spring
38,65,4,Hot
4,72,12,Winter
21,55,2,Summer
28,20,8,Summer
2,71,3,Winter
11,86,9,Spring
25,34,13,Summer
15,80,4,Spring
36,61,13,Hot
21,13,6,Summer
28,68,10,Summer
13,81,5,Spring
27,29,10,Summer
4,72,13,Winter
29,63,1,Summer
4,83,9,Winter
11,66,1,Spring
15,50,8,Spring
25,12,9,Summer
25,15,9,Summer
20,14,1,Spring
38,14,2,Hot
35,63,12,Hot
32,56,13,Hot
29,58,1,Summer
36,18,10,Hot
22,29,2,Summer
9,70,10,Winter
4,44,12,Winter
35,59,8,Hot
33,71,5,Hot
30,26,12,Summer
9,12,11,Winter
18,41,7,Spring
31,22,2,Hot
0,82,8,Winter
4,77,11,Winter
44,23,6,Hot
3,20,8,Winter
15,65,1,Spring
23,76,1,Summer
15,38,12,Spring
1,18,7,Winter
27,76,8,Summer
31,34,13,Hot
26,85,3,Summer
19,51,5,Spring
23,18,12,Summer
11,88,1,Spring
34,49,7,Hot
32,34,5,Hot
32,14,8,Hot
42,20,13,Hot
36,68,8,Hot
11,88,9,Spring
2,47,7,Winter
0,81,11,Winter
32,14,1,Hot
39,57,13,Hot
9,27,3,Winter
42,79,8,Hot
43,46,3,Hot
28,69,8,Summer
12,57,1,Spring
11,86,5,Spring
30,37,4,Summer
1,78,5,Winter
34,86,8,Hot
22,49,10,Summer
16,54,14,Spring
25,71,4,Summer
7,67,11,Winter
28,76,4,Summer
25,65,3,Summer
9,49,7,Winter
25,49,3,Summer
33,86,12,Hot
40,42,3,Hot
6,15,11,Winter
3,28,10,Winter
44,89,5,Hot
10,49,5,Winter
28,68,14,Summer
35,68,6,Hot
24,57,8,Summer
20,50,10,Spring
35,22,6,Hot
9,54,12,Winter
36,62,1,Hot
8,51,8,Winter
23,72,8,Summer
34,36,9,Hot
34,47,9,Hot
35,69,2,Hot
17,16,2,Spring
38,14,3,Hot
31,54,1,Hot
23,67,4,Summer
22,40,14,Summer
31,32,4,Hot
36,51,14,Hot
11,19,9,Spring
12,41,9,Spring
22,62,9,Summer
24,39,10,Summer
34,48,7,Hot
40,40,14,Hot
29,11,2,Summer
16,87,10,Spring
19,86,5,Spring
24,21,4,Summer
21,48,12,Summer
12,75,11,Spring
18,22,8,Spring
35,55,2,Hot
11,36,6,Spring
40,26,13,Hot
18,69,5,Spring
11,73,12,Spring
8,44,2,Winter
6,79,11,Winter
27,39,10,Summer
13,80,1,Spring
30,83,8,Summer
18,72,2,Spring
15,37,7,Spring
4,69,9,Winter
34,88,9,Hot
11,46,8,Spring
24,31,11,Summer
20,77,14,Spring
35,29,12,Hot
22,77,10,Summer
15,73,9,Spring
38,26,2,Hot
44,21,6,Hot
41,31,4,Hot
38,26,14,Hot
13,19,4,Spring
30,74,5,Summer
4,31,12,Winter
34,59,3,Hot
22,23,14,Summer
28,73,1,Summer
42,56,8,Hot
10,38,5,Winter
17,85,3,Spring
11,45,10,Spring
8,61,14,Winter
9,85,7,Winter
43,16,7,Hot
16,38,1,Spring
37,20,12,Hot
6,42,9,Winter
12,15,2,Spring
39,88,5,Hot
41,41,13,Hot
8,60,14,Winter
26,84,5,Summer
1,67,14,Winter
4,35,8,Winter
28,55,14,Summer
36,38,8,Hot
37,13,14,Hot
18,22,7,Spring
7,48,7,Winter
44,24,12,Hot
0,38,11,Winter
21,38,6,Summer
16,84,6,Spring
6,41,11,Winter
24,11,9,Summer
44,56,6,Hot
3,87,12,Winter
35,31,13,Hot
5,84,13,Winter
30,36,2,Summer
18,76,2,Spring
43,65,13,Hot
38,30,5,Hot
26,56,4,Summer
9,89,11,Winter
25,68,2,Summer
18,15,3,Spring
38,28,7,Hot
2,66,8,Winter
44,78,12,Hot
12,12,13,Spring
27,10,6,Summer
19,67,11,Spring
27,47,5,Summer
7,24,13,Winter
40,43,1,Hot
38,70,8,Hot
0,44,3,Winter
2,73,6,Winter
12,34,3,Spring
27,33,7,Summer
24,21,13,Summer
32,27,14,Hot
37,24,7,Hot
5,89,12,Winter
43,36,9,Hot
44,81,5,Hot
31,69,8,Hot
44,55,10,Hot
20,26,10,Spring
15,62,8,Spring
20,17,1,Spring
10,88,12,Winter
36,36,5,Hot
35,55,3,Hot
34,59,1,Hot
18,80,4,Spring
19,12,8,Spring
17,73,3,Spring
40,53,10,Hot
13,62,2,Spring
14,33,11,Spring
30,69,9,Summer
0,12,10,Winter
2,29,5,Winter
15,55,14,Spring
22,24,7,Summer
10,34,11,Winter
11,87,11,Spring
9,80,2,Winter
31,26,9,Hot
15,18,13,Spring
7,47,9,Winter
37,57,4,Hot
11,69,4,Spring
23,72,6,Summer
27,11,10,Summer
7,81,10,Winter
27,20,10,Summer
35,73,6,Hot
25,86,12,Summer
7,81,1,Winter
27,30,14,Summer
27,27,14,Summer
36,73,9,Hot
40,47,2,Hot
35,41,5,Hot
26,20,9,Summer
16,54,4,Spring
8,42,11,Winter
32,50,3,Hot
19,17,7,Spring
12,20,6,Spring
27,60,8,Summer
28,50,3,Summer
12,26,5,Spring
34,85,10,Hot
5,55,4,Winter
17,41,13,Spring
4,88,4,Winter
24,89,4,Summer
1,63,10,Winter
9,29,8,Winter
29,42,6,Summer
44,83,3,Hot
4,49,10,Winter
32,41,5,Hot
0,11,6,Winter
17,42,5,Spring
31,86,6,Hot
10,39,8,Winter
20,42,7,Spring
25,86,5,Summer
24,35,10,Summer
21,31,6,Summer
26,75,14,Summer
12,47,4,Spring
32,55,12,Hot
33,24,9,Hot
40,53,13,Hot
34,58,4,Hot
0,84,1,Winter
20,70,7,Spring
5,76,7,Winter
27,15,4,Summer
16,18,13,Spring
4,15,14,Winter
30,82,3,Summer
4,41,8,Winter
37,50,5,Hot
2,85,10,Winter
22,17,7,Summer
36,81,4,Hot
36,59,4,Hot
9,71,8,Winter
9,71,14,Winter
18,16,8,Spring
16,84,2,Spring
20,89,14,Spring
13,13,2,Spring
8,15,3,Winter
0,67,12,Winter
44,31,12,Hot
12,35,3,Spring
3,12,1,Winter
0,50,14,Winter
39,69,3,Hot
31,23,6,Hot
33,84,8,Hot
27,21,13,Summer
30,21,12,Summer
7,22,14,Winter
38,34,10,Hot
25,54,6,Summer
33,28,5,Hot
2,64,4,Winter
11,54,3,Spring
0,17,13,Winter
43,62,4,Hot
4,64,14,Winter
29,41,7,Summer
29,60,1,Summer
16,53,7,Spring
22,79,1,Summer
14,27,2,Spring
36,31,4,Hot
20,46,1,Spring
13,65,11,Spring
1,68,12,Winter
10,12,11,Winter
38,37,11,Hot
37,83,9,Hot
33,44,12,Hot
37,70,6,Hot
33,63,13,Hot
17,72,1,Spring
29,88,1,Summer
14,16,6,Spring
26,85,4,Summer
33,58,4,Hot
37,40,11,Hot
32,67,6,Hot
23,70,14,Summer
14,33,12,Spring
29,29,11,Summer
41,46,7,Hot
16,13,9,Spring
4,29,10,Winter
28,69,5,Summer
3,33,9,Winter
9,59,4,Winter
16,58,13,Spring
9,60,10,Winter
16,45,2,Spring
19,75,3,Spring
23,88,13,Summer
4,43,11,Winter
33,45,1,Hot
5,15,14,Winter
1,48,14,Winter
12,51,6,Spring
42,67,13,Hot
42,21,6,Hot
10,12,1,Winter
22,27,11,Summer
15,49,13,Spring
30,30,3,Summer
10,24,5,Winter
15,35,3,Spring
7,17,10,Winter
3,51,3,Winter
39,53,14,Hot
3,23,10,Winter
24,87,3,Summer
2,11,5,Winter
31,46,13,Hot
2,78,5,Winter
26,47,4,Summer
28,50,1,Summer
31,71,5,Hot
18,69,10,Spring
20,23,5,Spring
4,11,4,Winter
17,79,6,Spring
27,26,10,Summer
41,37,4,Hot
21,75,14,Summer
20,44,7,Spring
5,14,7,Winter
0,74,2,Winter
4,49,3,Winter
40,85,1,Hot
11,65,8,Spring
25,45,9,Summer
33,54,4,Hot
13,32,6,Spring
25,56,9,Summer
44,40,6,Hot
26,20,14,Summer
8,19,12,Winter
25,76,12,Summer
21,23,12,Summer
29,89,9,Summer
42,83,4,Hot
16,19,8,Spring
25,85,9,Summer
35,10,4,Hot
0,14,5,Winter
7,29,14,Winter
34,17,8,Hot
14,52,12,Spring
21,85,10,Summer
13,10,14,Spring
25,66,6,Summer
27,73,12,Summer
22,37,7,Summer
13,46,3,Spring
23,56,7,Summer
1,85,12,Winter
44,46,14,Hot
25,58,8,Summer
13,53,10,Spring
6,65,6,Winter
2,37,10,Winter
22,88,9,Summer
42,15,13,Hot
44,70,6,Hot
17,29,12,Spring
37,87,9,Hot
34,11,13,Hot
14,82,4,Spring
24,46,8,Summer
36,29,11,Hot
27,35,4,Summer
9,38,2,Winter
38,10,10,Hot
16,44,11,Spring
38,79,9,Hot
21,68,5,Summer
25,78,4,Summer
43,42,2,Hot
24,60,1,Summer
16,87,11,Spring
12,21,7,Spring
19,29,6,Spring
24,62,2,Summer
3,52,8,Winter
9,59,11,Winter
2,38,4,Winter
40,66,8,Hot
44,48,7,Hot
17,65,5,Spring
35,52,10,Hot
21,59,10,Summer
33,32,12,Hot
7,53,8,Winter
39,47,14,Hot
43,32,9,Hot
18,54,5,Spring
41,61,10,Hot
40,89,5,Hot
36,59,2,Hot
5,17,5,Winter
25,10,3,Summer
33,17,7,Hot
44,38,10,Hot
5,14,5,Winter
36,56,8,Hot
32,43,1,Hot
21,74,3,Summer
20,64,3,Spring
5,52,9,Winter
5,83,5,Winter
3,39,12,Winter
29,26,9,Summer
10,35,13,Winter
29,17,9,Summer
30,56,1,Summer
23,85,2,Summer
8,81,5,Winter
2,55,4,Winter
30,77,10,Summer
39,42,9,Hot
36,10,7,Hot
35,28,6,Hot
23,40,7,Summer
30,89,1,Summer
5,23,1,Winter
1,62,8,Winter
19,57,13,Spring
27,78,13,Summer
10,71,2,Winter
3,75,12,Winter
14,73,10,Spring
5,79,11,Winter
29,72,9,Summer
37,82,7,Hot
1,42,6,Winter
14,50,1,Spring
10,57,1,Winter
7,22,2,Winter
25,82,6,Summer
44,86,14,Hot
43,40,6,Hot
4,84,2,Winter
5,77,1,Winter
25,13,10,Summer
3,28,5,Winter
18,79,5,Spring
19,22,2,Spring
32,32,6,Hot
19,84,9,Spring
11,10,2,Spring
0,63,10,Winter
25,80,2,Summer
13,24,3,Spring
37,74,13,Hot
36,85,7,Hot
10,80,6,Winter
35,24,12,Hot
12,30,8,Spring
42,28,8,Hot
2,69,6,Winter
32,42,12,Hot
5,58,11,Winter
9,44,10,Winter
4,53,3,Winter
22,20,3,Summer
9,81,1,Winter
43,87,7,Hot
1,83,5,Winter
12,75,4,Spring
39,55,10,Hot
1,18,4,Winter
19,12,14,Spring
0,35,4,Winter
36,81,6,Hot
8,57,8,Winter
16,75,8,Spring
8,79,5,Winter
10,37,6,Winter
14,35,4,Spring
23,34,12,Summer
37,21,14,Hot
34,14,11,Hot
29,57,13,Summer
30,46,9,Summer
4,88,8,Winter
43,53,10,Hot
13,24,12,Spring
10,52,10,Winter
8,57,1,Winter
33,79,2,Hot
11,55,9,Spring
34,52,8,Hot
34,30,14,Hot
0,32,3,Winter
39,89,8,Hot
21,56,12,Summer
28,24,1,Summer
7,34,10,Winter
10,45,4,Winter
40,84,3,Hot
36,60,6,Hot
13,24,7,Spring
29,77,4,Summer
34,30,7,Hot
20,22,9,Spring
36,28,11,Hot
4,43,2,Winter
18,87,11,Spring
